year,direction,cofog_direction_id,program,cofog_program_id,type,amount,id,cofog_direction_color
2011,"ПОЧИВНО ДЕЛО, КУЛТУРА, РЕЛИГИОЗНИ ДЕЙНОСТИ",recreation,"ФИЗИЧЕСКА КУЛТУРА И СПОРТ",recreation2,"Текущи разходи",56400000,31,#555555
2011,"ПОЧИВНО ДЕЛО, КУЛТУРА, РЕЛИГИОЗНИ ДЕЙНОСТИ",recreation,"ФИЗИЧЕСКА КУЛТУРА И СПОРТ",recreation2,"Капиталови разходи",22300000,32,#555555
2011,"ПОЧИВНО ДЕЛО, КУЛТУРА, РЕЛИГИОЗНИ ДЕЙНОСТИ",recreation,КУЛТУРА,recreation3,"Текущи разходи",328100000,33,#555555
2011,"ПОЧИВНО ДЕЛО, КУЛТУРА, РЕЛИГИОЗНИ ДЕЙНОСТИ",recreation,КУЛТУРА,recreation3,"Капиталови разходи",50000000,34,#555555
2011,"ПОЧИВНО ДЕЛО, КУЛТУРА, РЕЛИГИОЗНИ ДЕЙНОСТИ",recreation,"РЕЛИГИОЗНО ДЕЛО",recreation4,"Текущи разходи",3700000,35,#555555
2011,"ПОЧИВНО ДЕЛО, КУЛТУРА, РЕЛИГИОЗНИ ДЕЙНОСТИ",recreation,"РЕЛИГИОЗНО ДЕЛО",recreation4,"Капиталови разходи",1500000,36,#555555
2011,"ИКОНОМИЧЕСКИ ДЕЙНОСТИ И УСЛУГИ",economics,"МИННО ДЕЛО, ГОРИВА И ЕНЕРГИЯ",economics1,"Текущи разходи",32200000,37,#555555
2011,"ИКОНОМИЧЕСКИ ДЕЙНОСТИ И УСЛУГИ",economics,"МИННО ДЕЛО, ГОРИВА И ЕНЕРГИЯ",economics1,"Капиталови разходи",7000000,38,#555555
2011,"ИКОНОМИЧЕСКИ ДЕЙНОСТИ И УСЛУГИ",economics,"СЕЛСКО СТОПАНСТВО, ГОРСКО СТОПАНСТВО, ЛОВ И РИБОЛОВ",economics2,"Текущи разходи",1192400000,39,#555555
2011,"ИКОНОМИЧЕСКИ ДЕЙНОСТИ И УСЛУГИ",economics,"СЕЛСКО СТОПАНСТВО, ГОРСКО СТОПАНСТВО, ЛОВ И РИБОЛОВ",economics2,"Капиталови разходи",24200000,40,#555555
2011,"ИКОНОМИЧЕСКИ ДЕЙНОСТИ И УСЛУГИ",economics,"ТРАНСПОРТ И СЪОБЩЕНИЯ",economics3,"Текущи разходи",669900000,41,#555555
2011,"ИКОНОМИЧЕСКИ ДЕЙНОСТИ И УСЛУГИ",economics,"ТРАНСПОРТ И СЪОБЩЕНИЯ",economics3,"Капиталови разходи",1175900000,42,#555555
2011,"ИКОНОМИЧЕСКИ ДЕЙНОСТИ И УСЛУГИ",economics,"ПРОМИШЛЕНОСТ И СТРОИТЕЛСТВО",economics4,"Текущи разходи",3400000,43,#555555
2011,"ИКОНОМИЧЕСКИ ДЕЙНОСТИ И УСЛУГИ",economics,"ПРОМИШЛЕНОСТ И СТРОИТЕЛСТВО",economics4,"Капиталови разходи",0,44,#555555
2011,"ИКОНОМИЧЕСКИ ДЕЙНОСТИ И УСЛУГИ",economics,ТУРИЗЪМ,economics5,"Текущи разходи",10300000,45,#555555
2011,"ИКОНОМИЧЕСКИ ДЕЙНОСТИ И УСЛУГИ",economics,ТУРИЗЪМ,economics5,"Капиталови разходи",3600000,46,#555555
2011,"ИКОНОМИЧЕСКИ ДЕЙНОСТИ И УСЛУГИ",economics,"ДРУГИ ДЕЙНОСТИ ПО ИКОНОМИКАТА",economics6,"Текущи разходи",277300000,47,#555555
2011,"ИКОНОМИЧЕСКИ ДЕЙНОСТИ И УСЛУГИ",economics,"ДРУГИ ДЕЙНОСТИ ПО ИКОНОМИКАТА",economics6,"Капиталови разходи",146800000,48,#555555
2011,"РАЗХОДИ НЕКЛАСИФИЦИРАНИ В ДРУГИТЕ ФУНКЦИИ",mics,"Текущи разходи",mics1,"Текущи разходи",661100000,49,#555555
2011,"РАЗХОДИ НЕКЛАСИФИЦИРАНИ В ДРУГИТЕ ФУНКЦИИ",mics,Резерв,mics2,Резерв,527400000,50,#555555
