year,section,direction,program,type,amount,plusminus
2011,ЗДРАВЕОПАЗВАНЕ,ЗДРАВЕОПАЗВАНЕ,"Текущи разходи","Текущи разходи",2945600000,Разходи
2011,ЗДРАВЕОПАЗВАНЕ,ЗДРАВЕОПАЗВАНЕ,"Капиталови разходи","Капиталови разходи",450000000,Разходи
2011,"СОЦИАЛНО ОСИГУРЯВАНЕ, ПОДПОМАГАНЕ И ГРИЖИ","СОЦИАЛНО ОСИГУРЯВАНЕ, ПОДПОМАГАНЕ И ГРИЖИ",ПЕНСИИ,ПЕНСИИ,7095700000,Разходи
2011,"СОЦИАЛНО ОСИГУРЯВАНЕ, ПОДПОМАГАНЕ И ГРИЖИ","СОЦИАЛНО ОСИГУРЯВАНЕ, ПОДПОМАГАНЕ И ГРИЖИ","СОЦИАЛНИ ПОМОЩИ И ОБЕЗЩЕТЕНИЯ","СОЦИАЛНИ ПОМОЩИ И ОБЕЗЩЕТЕНИЯ",1945500000,Разходи
2011,"СОЦИАЛНО ОСИГУРЯВАНЕ, ПОДПОМАГАНЕ И ГРИЖИ","СОЦИАЛНО ОСИГУРЯВАНЕ, ПОДПОМАГАНЕ И ГРИЖИ","ПРОГРАМИ, ДЕЙНОСТИ И СЛУЖБИ ПО СОЦИАЛНОТО ОСИГУРЯВАНЕ, ПОДПОМАГАНЕ И ЗАЕТОСТТА","Текущи разходи",6674000000,Разходи
2011,"СОЦИАЛНО ОСИГУРЯВАНЕ, ПОДПОМАГАНЕ И ГРИЖИ","СОЦИАЛНО ОСИГУРЯВАНЕ, ПОДПОМАГАНЕ И ГРИЖИ","ПРОГРАМИ, ДЕЙНОСТИ И СЛУЖБИ ПО СОЦИАЛНОТО ОСИГУРЯВАНЕ, ПОДПОМАГАНЕ И ЗАЕТОСТТА","Капиталови разходи",274000000,Разходи
2011,"ЖИЛИЩНО СТРОИТЕЛСТВО, БЛАГОУСТРОЙСТВО, КОМУНАЛНО СТОПАНСТВО И ОПАЗВАНЕ НА ОКОЛНАТА СРЕДА","ЖИЛИЩНО СТРОИТЕЛСТВО, БЛАГОУСТРОЙСТВО, КОМУНАЛНО СТОПАНСТВО И ОПАЗВАНЕ НА ОКОЛНАТА СРЕДА","ЖИЛИЩНО СТРОИТЕЛСТВО, БЛАГОУСТРОЙСТВО, КОМУНАЛНО СТОПАНСТВО","Текущи разходи",2249000000,Разходи
2011,"ЖИЛИЩНО СТРОИТЕЛСТВО, БЛАГОУСТРОЙСТВО, КОМУНАЛНО СТОПАНСТВО И ОПАЗВАНЕ НА ОКОЛНАТА СРЕДА","ЖИЛИЩНО СТРОИТЕЛСТВО, БЛАГОУСТРОЙСТВО, КОМУНАЛНО СТОПАНСТВО И ОПАЗВАНЕ НА ОКОЛНАТА СРЕДА","ЖИЛИЩНО СТРОИТЕЛСТВО, БЛАГОУСТРОЙСТВО, КОМУНАЛНО СТОПАНСТВО","Капиталови разходи",1149800000,Разходи
2011,"ЖИЛИЩНО СТРОИТЕЛСТВО, БЛАГОУСТРОЙСТВО, КОМУНАЛНО СТОПАНСТВО И ОПАЗВАНЕ НА ОКОЛНАТА СРЕДА","ЖИЛИЩНО СТРОИТЕЛСТВО, БЛАГОУСТРОЙСТВО, КОМУНАЛНО СТОПАНСТВО И ОПАЗВАНЕ НА ОКОЛНАТА СРЕДА","ОПАЗВАНЕ НА ОКОЛНАТА СРЕДА","Текущи разходи",4738000000,Разходи
2011,"ЖИЛИЩНО СТРОИТЕЛСТВО, БЛАГОУСТРОЙСТВО, КОМУНАЛНО СТОПАНСТВО И ОПАЗВАНЕ НА ОКОЛНАТА СРЕДА","ЖИЛИЩНО СТРОИТЕЛСТВО, БЛАГОУСТРОЙСТВО, КОМУНАЛНО СТОПАНСТВО И ОПАЗВАНЕ НА ОКОЛНАТА СРЕДА","ОПАЗВАНЕ НА ОКОЛНАТА СРЕДА","Капиталови разходи",5404000000,Разходи
2011,"ПОЧИВНО ДЕЛО, КУЛТУРА, РЕЛИГИОЗНИ ДЕЙНОСТИ","ПОЧИВНО ДЕЛО, КУЛТУРА, РЕЛИГИОЗНИ ДЕЙНОСТИ","ПОЧИВНО ДЕЛО","Текущи разходи",126000000,Разходи
