function,group,activity,year,amount,id
Общи държавни служби,Изпълнителни и законодателни органи,Централни държавни органи,2000,8.906905E7,1
Общи държавни служби,Изпълнителни и законодателни органи,Политически кабинет,2000,1017050.0,2
Общи държавни служби,Изпълнителни и законодателни органи,Централни държавни органи по образованието,2000,2641200.0,3
Общи държавни служби,Изпълнителни и законодателни органи,Централни държавни органи по здравеопазването,2000,1778740.0,4
Общи държавни служби,Изпълнителни и законодателни органи,Централни държавни органи по социалното осигуряването,2000,1569480.0,5
Общи държавни служби,Изпълнителни и законодателни органи,Централни държавни органи по регионалното развитие и благоустройство,2000,1.169993E7,6
Общи държавни служби,Изпълнителни и законодателни органи,"Централни държавни органи по културата,спорта и туризма",2000,3049000.0,7
Общи държавни служби,Изпълнителни и законодателни органи,Централни държавни органи по икономическите дейности и услуги,2000,5.731509E7,8
Общи държавни служби,Изпълнителни и законодателни органи,Контролни държавни органи,2000,9.317324E7,9
Общи държавни служби,Изпълнителни и законодателни органи,Държавни агенции,2000,3.819589E7,10
Общи държавни служби,Изпълнителни и законодателни органи,Държавни комисии,2000,9822460.0,11
Общи държавни служби,Изпълнителни и законодателни органи,Изпълнителни агенции,2000,2.8700448E8,12
Общи държавни служби,Изпълнителни и законодателни органи,"Управление, контрол и регулиране на външните работи",2000,7286020.0,13
Общи държавни служби,Изпълнителни и законодателни органи,"Посолства, консулства, представителства и мисии в чужбина",2000,7.543799E7,14
Общи държавни служби,Изпълнителни и законодателни органи,Държавни и общински служби по изборите,2000,0.0,15
Общи държавни служби,Изпълнителни и законодателни органи,Областни администрации,2000,1.20803E7,16
Общи държавни служби,Изпълнителни и законодателни органи,Общинска администрация,2000,2.2556319E8,17
Общи държавни служби,Изпълнителни и законодателни органи,Общински районни съвети,2000,3065410.0,18
Общи държавни служби,Изпълнителни и законодателни органи,"Международни програми и споразумения, дарения и помощи от чужбина",2000,65340.0,19
Общи държавни служби,Изпълнителни и законодателни органи,Други изпълнителни и законодателни органи,2000,5661660.0,20
Общи държавни служби,Изпълнителни и законодателни органи,Общински съвети,2000,0.0,21
Общи държавни служби,Изпълнителни и законодателни органи,Държавни и общински служби и дейности по изборите,2000,0.0,22
Общи държавни служби,Изпълнителни и законодателни органи,"Общинска администрация – до финансиране с приходи с общински характер, дарения и други",2000,0.0,23
Общи държавни служби,Изпълнителни и законодателни органи,Централни държавни органи по културата и спорта,2000,0.0,24
Общи държавни служби,Изпълнителни и законодателни органи,Контролни държавни и общински органи,2000,0.0,25
Общи държавни служби,Изпълнителни и законодателни органи,Членове на Европейския парлмент от Република България,2000,0.0,26
Общи държавни служби,Общи служби,"Статистически институт,служби и дейности,социологически проучвания и анкети",2000,1.548769E7,27
Общи държавни служби,Общи служби,Общоикономическо и социално програмиране и прогнозиране,2000,283480.0,28
Общи държавни служби,Общи служби,Регистрация и контрол на чуждестранните инвестиции,2000,481610.0,29
Общи държавни служби,Общи служби,Служби и дейности за връзки с българите в чужбина,2000,353770.0,30
Общи държавни служби,Общи служби,Служби и дейности за подпомагане на бежанците,2000,2385560.0,31
Общи държавни служби,Общи служби,Управление и администриране на получена чуждестранна помощ,2000,311020.0,32
Общи държавни служби,Общи служби,Управление на държавния резерв и военновременните запаси,2000,9.850728E7,33
Общи държавни служби,Общи служби,Управление на гражд.администрация и административно обслужване на населението,2000,0.0,34
Общи държавни служби,Общи служби,Други общи служби,2000,3379630.0,35
Общи държавни служби,Общи служби,Ликвидационна комисия за закрити бюджетни организации,2000,452350.0,36
Общи държавни служби,Общи служби,"Международни програми и споразумения, дарения и помощи от чужбина",2000,8.19662E7,37
Общи държавни служби,Наука,Организация и управление на научните изследвания и дейности,2000,388650.0,38
Общи държавни служби,Наука,Научноизследователско дело,2000,5.253076E7,39
Общи държавни служби,Наука,Научноизследователски институти и центрове,2000,4.124879E7,40
Общи държавни служби,Наука,"Международни програми и споразумения, дарения и помощи от чужбина",2000,1.968018E7,41
Общи държавни служби,Наука,Други дейности на науката,2000,0.0,42
Отбрана и сиурност,Отбрана,Дейности по отбраната,2000,6.3334243E8,43
Отбрана и сиурност,Отбрана,"Международни програми и споразумения, дарения и помощи от чужбина",2000,20100.0,44
Отбрана и сиурност,Отбрана,Други дейности по отбраната,2000,9.443627E7,45
Отбрана и сиурност,Отбрана,Дейности по подготовката и присъединяването към НАТО,2000,0.0,46
Отбрана и сиурност,Отбрана,Отбранително-мобилизационна подготовка,2000,0.0,47
Отбрана и сиурност,Отбрана,Мироопазващи мисии в чужбина,2000,0.0,48
Отбрана и сиурност,Отбрана,Участие на Република България в НАТО,2000,0.0,49
Отбрана и сиурност,"Полиция, вътрешен ред и сигурност","Полиция, противопожарна охрана и вътрешен ред",2000,4.8754593E8,50
Отбрана и сиурност,"Полиция, вътрешен ред и сигурност",Национална служба за охрана,2000,1.233861E7,51
Отбрана и сиурност,"Полиция, вътрешен ред и сигурност",Национална разузнавателна служба,2000,7791290.0,52
Отбрана и сиурност,"Полиция, вътрешен ред и сигурност",Противопожарна охрана,2000,0.0,53
Отбрана и сиурност,"Полиция, вътрешен ред и сигурност",Приложни научни изследвания в областта на вътрешния ред и сигурност,2000,0.0,54
Отбрана и сиурност,"Полиция, вътрешен ред и сигурност","Международни програми и споразумения, дарения и помощи от чужбина",2000,0.0,55
Отбрана и сиурност,"Полиция, вътрешен ред и сигурност",Други дейности по вътрешната сигурност,2000,1.385595E7,56
Отбрана и сиурност,"Полиция, вътрешен ред и сигурност",Полиция и вътрешен ред,2000,0.0,57
Отбрана и сиурност,Съдебна власт,Висш съдебен съвет,2000,986670.0,58
Отбрана и сиурност,Съдебна власт,Върховен административен съд,2000,2045600.0,59
Отбрана и сиурност,Съдебна власт,Върховен касационен съд,2000,2101200.0,60
Отбрана и сиурност,Съдебна власт,Прокуратура,2000,2.109973E7,61
Отбрана и сиурност,Съдебна власт,Специална следствена служба,2000,3126110.0,62
Отбрана и сиурност,Съдебна власт,Съдилища,2000,4.639209E7,63
Отбрана и сиурност,Съдебна власт,Следствени служби и други дейности на съдебната власт,2000,2.897197E7,64
Отбрана и сиурност,Съдебна власт,Следствени служби,2000,0.0,65
Отбрана и сиурност,Съдебна власт,Други дейности на съдебната власт,2000,0.0,66
Отбрана и сиурност,Съдебна власт,Специализирана следствена служба,2000,0.0,67
Отбрана и сиурност,Съдебна власт,Национална следствена служба,2000,0.0,68
Отбрана и сиурност,Съдебна власт,Окръжни следствени служби,2000,0.0,69
Отбрана и сиурност,Съдебна власт,"Международни програми и споразумения, дарения и помощи от чужбина",2000,0.0,70
Отбрана и сиурност,Администрация на затворите,Места за лишаване от свобода,2000,3.091709E7,71
Отбрана и сиурност,"Гражданска защита, управление и дейности при кризи, стихийни бедствия и аварии ",Гражданска защита,2000,0.0,72
Отбрана и сиурност,"Гражданска защита, управление и дейности при кризи, стихийни бедствия и аварии ","Отбранително-мобилизационна подготовка, поддържане на запаси и мощности",2000,0.0,73
Отбрана и сиурност,"Гражданска защита, управление и дейности при кризи, стихийни бедствия и аварии ","Превантивна дейност за намаляване на вредните последствия от кризи, бедствия и аварии",2000,0.0,74
Отбрана и сиурност,"Гражданска защита, управление и дейности при кризи, стихийни бедствия и аварии ",Ликвидиране на последици от стихийни бедствия и производствени аварии,2000,0.0,75
Отбрана и сиурност,"Гражданска защита, управление и дейности при кризи, стихийни бедствия и аварии ","Международни програми и споразумения, дарения и помощи от чужбина",2000,0.0,76
Отбрана и сиурност,"Гражданска защита, управление и дейности при кризи, стихийни бедствия и аварии ",Други дейности по управление при кризи,2000,0.0,77
Отбрана и сиурност,"Гражданска защита, управление и дейности при кризи, стихийни бедствия и аварии ",Доброволни формирования за защита при бедствия,2000,0.0,78
Образование,Образование,"Управление, контрол, регулиране и лицензиране на дейности по образованието",2000,3452100.0,79
Образование,Образование,Целодневни детски градини,2000,1.2077396E8,80
Образование,Образование,Санаториални детски градини,2000,1176790.0,81
Образование,Образование,Обединени детски заведения и комплекси,2000,4.839698E7,82
Образование,Образование,Полудневни детски градини,2000,3404430.0,83
Образование,Образование,Временни летни детски градини,2000,4120.0,84
Образование,Образование,Специални училища,2000,2.938531E7,85
Образование,Образование,Общообразователни училища,2000,4.0729774E8,86
Образование,Образование,Общообразователни вечерни училища,2000,881340.0,87
Образование,Образование,Общообразователни спортни училища,2000,5087580.0,88
Образование,Образование,Училища в чужбина,2000,1825650.0,89
Образование,Образование,Професионални учебни заведения и педагогически консултационни кабинети (ПКК),2000,1.3562294E8,90
Образование,Образование,Домове за деца и юноши,2000,1.465261E7,91
Образование,Образование,Общежития и интернати,2000,2.227252E7,92
Образование,Образование,Ученически почивни лагери,2000,6425840.0,93
Образование,Образование,Повишаване на квалификацията,2000,3995810.0,94
Образование,Образование,Столове,2000,1.370794E7,95
Образование,Образование,Извънучилищни дейности,2000,510460.0,96
Образование,Образование,"Академии,университети и висши училища",2000,2.3650867E8,97
Образование,Образование,Други дейности за децата,2000,1.42953E7,98
Образование,Образование,Други дейности за младежта,2000,626170.0,99
Образование,Образование,"Международни програми и споразумения, дарения и помощи от чужбина",2000,1.716109E7,100
Образование,Образование,Други дейности по образованието,2000,5.552395E7,101
Образование,Образование,Обединени детски заведения,2000,0.0,102
Образование,Образование,"Академии, университети и висши училища",2000,0.0,103
Образование,Образование,"Целодневни детски градини – до финансиране с приходи с общински характер, дарения и други",2000,0.0,104
Образование,Образование,Специални детски градини,2000,0.0,105
Образование,Образование,Сезонни детски градини,2000,0.0,106
Образование,Образование,Общообразователни спортни училища с държавен прием,2000,0.0,107
Образование,Образование,"Домове за отглеждане и възпитание на деца, лишени от родителска грижа",2000,0.0,108
Образование,Образование,Предучилищна полудневна подготовка на 6-годишни деца,2000,0.0,109
Образование,Образование,Общообразователни спортни училища,2000,0.0,110
Образование,Образование,Професионални учебни заведения,2000,0.0,111
Образование,Образование,Общежития,2000,0.0,112
Образование,Образование,Целодневни детски градини и обединени детски заведения,2000,0.0,113
Образование,Образование,Спортни училища,2000,0.0,114
Образование,Образование,Професионални училища и професионални паралелки към средно общообразователно училище,2000,0.0,115
Образование,Образование,Приложни научни изследвания в областта на образованието,2000,0.0,116
Образование,Образование,Целодневни детски градини и обединени детски заведения за деца от 1 до 6 години,2000,0.0,117
Образование,Образование,Полудневна подготовка в училище за деца на 6 години,2000,0.0,118
Здравеопазване,Здравеопазване,"Научен институт за спешна медицинска помощ ""Пирогов""",2000,1.379668E7,119
Здравеопазване,Здравеопазване,Районни болници,2000,1.4184517E8,120
Здравеопазване,Здравеопазване,Дом майка и дете,2000,1.503818E7,121
Здравеопазване,Здравеопазване,Лечебно-оздравителни заведения,2000,505910.0,122
Здравеопазване,Здравеопазване,Амбулаторно-поликлинични здравни заведения,2000,8.956918E7,123
Здравеопазване,Здравеопазване,Амбулаторно-поликлинични стоматологични заведения,2000,1.471292E7,124
Здравеопазване,Здравеопазване,Инфекциозна болница,2000,675480.0,125
Здравеопазване,Здравеопазване,"Управление, контрол и регулиране на дейности по здравеопазването",2000,0.0,126
Здравеопазване,Здравеопазване,Общински болници,2000,7.898166E7,127
Здравеопазване,Здравеопазване,Детски болници,2000,389830.0,128
Здравеопазване,Здравеопазване,Болници за белодробни болести,2000,6532060.0,129
Здравеопазване,Здравеопазване,Акушеро-гинекологични болници,2000,7250500.0,130
Здравеопазване,Здравеопазване,Психиатрични болници,2000,7917880.0,131
Здравеопазване,Здравеопазване,Медицински служби по транспорта,2000,5931820.0,132
Здравеопазване,Здравеопазване,Градски център по амбулаторна рехабилитация,2000,7707240.0,133
Здравеопазване,Здравеопазване,Диспансери за пневмо-фтизиатрични заболявания,2000,4005680.0,134
Здравеопазване,Здравеопазване,Диспансери за психични заболявания,2000,5591850.0,135
Здравеопазване,Здравеопазване,Диспансери за кожно-венерически заболявания,2000,1869100.0,136
Здравеопазване,Здравеопазване,Диспансери за онкологични заболявания,2000,1.000864E7,137
Здравеопазване,Здравеопазване,Диспансери по спортна медицина,2000,0.0,138
Здравеопазване,Здравеопазване,Центрове за спешна медицинска помощ,2000,2.997484E7,139
Здравеопазване,Здравеопазване,Хигиенно-епидемиологични инспекции,2000,1.6730830000000002E7,140
Здравеопазване,Здравеопазване,Детски ясли,2000,2.209361E7,141
Здравеопазване,Здравеопазване,Агенция по лекарствата,2000,1424950.0,142
Здравеопазване,Здравеопазване,Рехабилитация,2000,0.0,143
Здравеопазване,Здравеопазване,Лечебна дейност,2000,7.263004E7,144
Здравеопазване,Здравеопазване,Районни центрове по здравна информация,2000,2812690.0,145
Здравеопазване,Здравеопазване,Национални центрове,2000,3.075266E7,146
Здравеопазване,Здравеопазване,Здравен кабинет в детски градини и училища,2000,0.0,147
Здравеопазване,Здравеопазване,Зъботехнически лаборатории,2000,2803220.0,148
Здравеопазване,Здравеопазване,"Институтски болници и клинична болница ""Лозенец""",2000,5.024393E7,149
Здравеопазване,Здравеопазване,Национална здравноосигурителна каса,2000,1.2683178E8,150
Здравеопазване,Здравеопазване,Център за наркомания,2000,105350.0,151
Здравеопазване,Здравеопазване,"Международни програми и споразумения, дарения и помощи от чужбина",2000,90330.0,152
Здравеопазване,Здравеопазване,Други дейности по здравеопазването,2000,2.1340858E8,153
Здравеопазване,Здравеопазване,Многопрофилни болници за активно лечение,2000,0.0,154
Здравеопазване,Здравеопазване,Домове за медико-социални грижи,2000,0.0,155
Здравеопазване,Здравеопазване,"Болница ""Лозенец""",2000,0.0,156
Здравеопазване,Здравеопазване,Преобразувани лечебни заведения,2000,0.0,157
Здравеопазване,Здравеопазване,Центрове за психично здраве,2000,0.0,158
Здравеопазване,Здравеопазване,Агенция по лекарствата (закрит),2000,0.0,159
Здравеопазване,Здравеопазване,Специализирана болница по очни болести за активно лечение,2000,0.0,160
Здравеопазване,Здравеопазване,Болница за долекуване и рехабилитация,2000,0.0,161
Здравеопазване,Здравеопазване,"Други дейности по здравеопазването – до финансиране с приходи с общински характер, дарения и други",2000,0.0,162
Здравеопазване,Здравеопазване,Болница по офталмология,2000,0.0,163
Здравеопазване,Здравеопазване,Национални прогарами,2000,0.0,164
Здравеопазване,Здравеопазване,Регионални инспекции за опазване и контрол на общественото здравеопазване,2000,0.0,165
Здравеопазване,Здравеопазване,Плащания за първична извънболнична медицинска помощ,2000,0.0,166
Здравеопазване,Здравеопазване,Плащания за специализирана извънболнична медицинска помощ,2000,0.0,167
Здравеопазване,Здравеопазване,Плащания за стоматологина помощ,2000,0.0,168
Здравеопазване,Здравеопазване,Плащания за медико-диагностични дейности,2000,0.0,169
Здравеопазване,Здравеопазване,Плащания за лекарства за домашно лечение и медицински издeлия,2000,0.0,170
Здравеопазване,Здравеопазване,Плащания за болнична медицинска помощ,2000,0.0,171
Здравеопазване,Здравеопазване,Други здравноосигурителни плащания,2000,0.0,172
Здравеопазване,Здравеопазване,Детски ясли за деца лишени от родителски грижи,2000,0.0,173
Здравеопазване,Здравеопазване,Субституиращи и поддържащи програми,2000,0.0,174
"Социално осигуряване, подпомагане и грижи",Пенсии,Пенсии,2000,2.5345208E9,175
"Социално осигуряване, подпомагане и грижи",Социални помощи и обезщетения,Социални помощи и обезщетения,2000,4.533242E8,176
"Социално осигуряване, подпомагане и грижи",Социални помощи и обезщетения,"Социални помощи и обезщетения по международни програми, помощи и дарения",2000,1.66365E8,177
"Социално осигуряване, подпомагане и грижи",Социални помощи и обезщетения,Помощи по Правилника за прилагане на Закона за социално подпомагане,2000,0.0,178
"Социално осигуряване, подпомагане и грижи",Социални помощи и обезщетения,Други помощи по Правилника за прилагане на Закона за социално подпомагане,2000,0.0,179
"Социално осигуряване, подпомагане и грижи",Социални помощи и обезщетения,Помощи по Указа за насърчаване на раждаемостта,2000,0.0,180
"Социално осигуряване, подпомагане и грижи",Социални помощи и обезщетения,Други помощи и обезщетения,2000,0.0,181
"Социално осигуряване, подпомагане и грижи",Социални помощи и обезщетения,Помощи по Закона за семейните помощи за деца,2000,0.0,182
"Социално осигуряване, подпомагане и грижи",Социални помощи и обезщетения,Помощи по Закона за социално подпомагане,2000,0.0,183
"Социално осигуряване, подпомагане и грижи",Социални помощи и обезщетения,"Помощи по правилника за прилагане на ЗСП – до финансиране с приходи с общински характер, дарения и други",2000,0.0,184
"Социално осигуряване, подпомагане и грижи",Социални помощи и обезщетения,Помощи по Закона за интеграция на хората с увреждания,2000,0.0,185
"Социално осигуряване, подпомагане и грижи",Социални помощи и обезщетения,Помощи за диагностика и лечение на социално слаби лица,2000,0.0,186
"Социално осигуряване, подпомагане и грижи",Социални помощи и обезщетения,Помощи по Закона за закрила на детето,2000,0.0,187
"Социално осигуряване, подпомагане и грижи","Работи и служби по социалното осигуряване, подпомагане и заетостта","Служби по социалното осигуряване (ДОО, ПКБ и др.)",2000,4.8071341E8,188
"Социално осигуряване, подпомагане и грижи","Работи и служби по социалното осигуряване, подпомагане и заетостта",Общински служби за социално подпомагане,2000,3.258074E7,189
"Социално осигуряване, подпомагане и грижи","Работи и служби по социалното осигуряване, подпомагане и заетостта",Заведения за социални услуги,2000,2.711857E7,190
"Социално осигуряване, подпомагане и грижи","Работи и служби по социалното осигуряване, подпомагане и заетостта",Домашен социален патронаж,2000,1.538141E7,191
"Социално осигуряване, подпомагане и грижи","Работи и служби по социалното осигуряване, подпомагане и заетостта",Дневни домове и други заведения за социални услуги,2000,2832020.0,192
"Социално осигуряване, подпомагане и грижи","Работи и служби по социалното осигуряване, подпомагане и заетостта","Други служби и дейности по социалното осигуряване, подпомагане и заетостта",2000,6.225962E7,193
"Социално осигуряване, подпомагане и грижи","Работи и служби по социалното осигуряване, подпомагане и заетостта",Заведения за социални услуги и стационар,2000,0.0,194
"Социално осигуряване, подпомагане и грижи","Работи и служби по социалното осигуряване, подпомагане и заетостта",Домашен социален патронаж и трапезарии,2000,0.0,195
"Социално осигуряване, подпомагане и грижи","Работи и служби по социалното осигуряване, подпомагане и заетостта",Служби по социалното осигуряване (ДОО и др.),2000,0.0,196
"Социално осигуряване, подпомагане и грижи","Работи и служби по социалното осигуряване, подпомагане и заетостта",Заведения за социални услуги извън обичайната домашна среда,2000,0.0,197
"Социално осигуряване, подпомагане и грижи","Работи и служби по социалното осигуряване, подпомагане и заетостта",Домашен социален патронаж,2000,0.0,198
"Социално осигуряване, подпомагане и грижи","Работи и служби по социалното осигуряване, подпомагане и заетостта",Дневни домове и други заведения за социални услуги в обичайна домашна среда,2000,0.0,199
"Социално осигуряване, подпомагане и грижи","Програми, дейности и служби по социалното осигуряване, подпомагане и заетостта",Служби по социалното осигуряване (ДОО и др.),2000,0.0,200
"Социално осигуряване, подпомагане и грижи","Програми, дейности и служби по социалното осигуряване, подпомагане и заетостта",Дирекции за социално подпомагане,2000,0.0,201
"Социално осигуряване, подпомагане и грижи","Програми, дейности и служби по социалното осигуряване, подпомагане и заетостта",Домашен социален патронаж и трапезарии,2000,0.0,202
"Социално осигуряване, подпомагане и грижи","Програми, дейности и служби по социалното осигуряване, подпомагане и заетостта","Клубове на пенсионера, инвалида и други социални услуги",2000,0.0,203
"Социално осигуряване, подпомагане и грижи","Програми, дейности и служби по социалното осигуряване, подпомагане и заетостта",Дейности за предотвратяване на трудови злополуки и професионални болести,2000,0.0,204
"Социално осигуряване, подпомагане и грижи","Програми, дейности и служби по социалното осигуряване, подпомагане и заетостта",Програми за временна заетост,2000,0.0,205
"Социално осигуряване, подпомагане и грижи","Програми, дейности и служби по социалното осигуряване, подпомагане и заетостта",Други програми и дейности за осигуряване на заетост,2000,0.0,206
"Социално осигуряване, подпомагане и грижи","Програми, дейности и служби по социалното осигуряване, подпомагане и заетостта",Домове за стари хора,2000,0.0,207
"Социално осигуряване, подпомагане и грижи","Програми, дейности и служби по социалното осигуряване, подпомагане и заетостта",Домове за възрастни с умствена изостаналост,2000,0.0,208
"Социално осигуряване, подпомагане и грижи","Програми, дейности и служби по социалното осигуряване, подпомагане и заетостта",Домове за възрастни с психически разстройства,2000,0.0,209
"Социално осигуряване, подпомагане и грижи","Програми, дейности и служби по социалното осигуряване, подпомагане и заетостта",Домове за възрастни с физически увреждания,2000,0.0,210
"Социално осигуряване, подпомагане и грижи","Програми, дейности и служби по социалното осигуряване, подпомагане и заетостта",Домове за лица със сетивни увреждания,2000,0.0,211
"Социално осигуряване, подпомагане и грижи","Програми, дейности и служби по социалното осигуряване, подпомагане и заетостта",Социални учебно-професионални заведения,2000,0.0,212
"Социално осигуряване, подпомагане и грижи","Програми, дейности и служби по социалното осигуряване, подпомагане и заетостта",Домове за деца и младежи с умствена изостаналост (3-25 г.),2000,0.0,213
"Социално осигуряване, подпомагане и грижи","Програми, дейности и служби по социалното осигуряване, подпомагане и заетостта",Домове за временно настаняване и домове за възрастни с деменция,2000,0.0,214
"Социално осигуряване, подпомагане и грижи","Програми, дейности и служби по социалното осигуряване, подпомагане и заетостта",Дневни домове за стари хора,2000,0.0,215
"Социално осигуряване, подпомагане и грижи","Програми, дейности и служби по социалното осигуряване, подпомагане и заетостта",Дневни домове за деца и младежи с умствена изостаналост (3-18 г.),2000,0.0,216
"Социално осигуряване, подпомагане и грижи","Програми, дейности и служби по социалното осигуряване, подпомагане и заетостта",Центрове за социална рехабилитация на инвалиди,2000,0.0,217
"Социално осигуряване, подпомагане и грижи","Програми, дейности и служби по социалното осигуряване, подпомагане и заетостта",Други дейности и служби за социални услуги,2000,0.0,218
"Социално осигуряване, подпомагане и грижи","Програми, дейности и служби по социалното осигуряване, подпомагане и заетостта","Международни програми и споразумения, дарения и помощи от чужбина",2000,0.0,219
"Социално осигуряване, подпомагане и грижи","Програми, дейности и служби по социалното осигуряване, подпомагане и заетостта","Други служби и дейности по социалното осигуряване, подпомагане и заетостта",2000,0.0,220
"Социално осигуряване, подпомагане и грижи","Програми, дейности и служби по социалното осигуряване, подпомагане и заетостта","Домашен социален патронаж, трапезарии и други социални услуги",2000,0.0,221
"Социално осигуряване, подпомагане и грижи","Програми, дейности и служби по социалното осигуряване, подпомагане и заетостта","Клубове на пенсионера, инвалида и др.",2000,0.0,222
"Социално осигуряване, подпомагане и грижи","Програми, дейности и служби по социалното осигуряване, подпомагане и заетостта",Домове за възрастни с психични разстройства,2000,0.0,223
"Социално осигуряване, подпомагане и грижи","Програми, дейности и служби по социалното осигуряване, подпомагане и заетостта",Домове за възрастни със сетивни увреждания,2000,0.0,224
"Социално осигуряване, подпомагане и грижи","Програми, дейности и служби по социалното осигуряване, подпомагане и заетостта",Домове за деца и младежи с умствена изостаналост,2000,0.0,225
"Социално осигуряване, подпомагане и грижи","Програми, дейности и служби по социалното осигуряване, подпомагане и заетостта",Домове за временно настаняване,2000,0.0,226
"Социално осигуряване, подпомагане и грижи","Програми, дейности и служби по социалното осигуряване, подпомагане и заетостта",Дневни центрове за стари хора,2000,0.0,227
"Социално осигуряване, подпомагане и грижи","Програми, дейности и служби по социалното осигуряване, подпомагане и заетостта",Дневни центрове за деца и младежи с увреждания,2000,0.0,228
"Социално осигуряване, подпомагане и грижи","Програми, дейности и служби по социалното осигуряване, подпомагане и заетостта",Дневни центрове за възрастни с увреждания,2000,0.0,229
"Социално осигуряване, подпомагане и грижи","Програми, дейности и служби по социалното осигуряване, подпомагане и заетостта",Домове за възрастни с деменция,2000,0.0,230
"Социално осигуряване, подпомагане и грижи","Програми, дейности и служби по социалното осигуряване, подпомагане и заетостта",Приюти,2000,0.0,231
